threads,engine,wall_med,wall_max,pp_med,pp_max,tg_med,tg_max,pp_ratio_pct,tg_ratio_pct,pp_samples,tg_samples,wall_samples
7,llama,24.9,25.6,13.12,14.50,4.28,4.34,-,-,14.50;12.27;12.01;12.71;13.93;13.52,4.13;4.27;4.18;4.29;4.33;4.34,24.7;25.0;25.6;25.0;24.2;24.2
8,sub0llm,29.5,33.2,9.20,9.32,4.78,4.87,61.3,104.3,9.13;9.22;7.92;9.17;9.32;9.24,4.72;4.83;4.44;4.70;4.87;4.87,29.9;29.4;33.2;29.6;28.9;29.3
8,llama,23.4,24.1,15.00,16.51,4.58,4.60,-,-,15.62;12.04;14.39;14.23;15.71;16.51,4.60;4.57;4.48;4.44;4.59;4.59,23.2;24.1;23.5;23.6;22.7;22.6
9,sub0llm,28.9,31.0,9.64,9.79,4.91,5.02,60.2,100.5,9.53;9.67;9.73;9.44;9.61;9.79,4.96;4.86;4.59;4.83;5.02;4.99,28.8;29.2;31.0;29.0;28.3;27.9
9,llama,21.8,23.3,16.02,19.78,4.88,4.94,-,-,19.78;18.25;15.51;15.95;13.95;16.10,4.94;4.87;4.70;4.81;4.93;4.90,21.0;21.6;23.3;21.9;22.1;21.6
10,sub0llm,29.0,29.4,9.56,10.17,4.86,5.06,61.0,94.4,9.54;9.01;9.58;9.05;10.08;10.17,4.94;4.78;4.73;4.69;5.06;5.06,28.8;29.1;29.2;29.4;27.9;28.2
10,llama,21.2,22.8,15.68,18.53,5.15,5.24,-,-,10.88;17.50;17.53;13.13;18.53;13.85,5.20;5.01;5.10;5.07;5.24;5.23,22.8;21.1;21.0;22.1;20.4;21.3
11,sub0llm,27.2,27.9,10.43,10.61,5.36,5.43,57.1,99.4,10.36;10.19;10.53;10.61;10.49;10.23,5.34;5.19;5.21;5.42;5.38;5.43,27.4;27.5;27.9;26.6;27.1;26.5
11,llama,20.2,20.4,18.27,23.43,5.39,5.52,-,-,16.07;20.54;23.43;18.61;17.93;17.67,5.40;5.29;5.20;5.47;5.39;5.52,20.4;20.4;19.9;20.2;20.3;20.0
12,sub0llm,27.2,27.6,10.57,10.77,5.41,5.60,59.9,96.5,10.14;10.34;10.77;10.59;10.56;10.73,5.28;5.31;5.30;5.51;5.51;5.60,27.4;27.5;27.6;26.5;27.0;26.4
12,llama,19.8,20.6,17.64,21.24,5.61,5.76,-,-,16.57;17.20;16.67;18.92;21.24;18.09,5.53;5.46;5.44;5.68;5.76;5.68,20.1;20.3;20.6;19.2;18.8;19.5
13,sub0llm,25.2,25.6,12.21,12.37,5.89,5.95,62.1,100.9,12.19;12.37;12.24;11.80;12.33;11.72,5.75;5.79;5.90;5.89;5.93;5.95,25.4;25.4;25.6;25.1;24.7;25.0
13,llama,19.2,19.7,19.67,24.34,5.84,5.99,-,-,19.00;19.69;19.65;24.34;15.43;22.26,5.69;5.80;5.71;5.98;5.88;5.99,19.3;19.1;19.3;18.4;19.7;18.2
14,sub0llm,24.5,25.1,12.81,13.34,6.04,6.26,67.8,100.8,13.34;12.61;12.35;13.27;12.42;13.01,6.02;6.07;5.97;5.97;6.23;6.26,24.3;25.0;25.1;24.3;24.7;24.0
14,llama,18.9,19.2,18.88,21.25,6.00,6.08,-,-,21.25;18.02;20.22;19.75;16.72;17.23,5.85;5.96;5.85;6.06;6.08;6.03,18.9;19.2;18.8;18.4;18.9;19.1
15,sub0llm,24.0,24.2,14.32,14.65,6.17,6.37,66.7,102.5,14.65;14.31;14.32;14.25;14.12;14.48,6.18;6.25;6.17;6.16;6.11;6.37,24.1;24.2;24.0;23.8;24.0;23.7
15,llama,18.4,18.7,21.45,26.10,6.03,6.28,-,-,19.41;26.10;22.59;21.08;19.87;21.83,6.04;6.09;5.99;6.01;5.98;6.28,18.6;17.8;18.3;18.4;18.7;17.9
16,sub0llm,23.6,24.0,15.20,15.53,6.31,6.61,60.0,103.3,15.02;15.22;15.46;15.18;15.08;15.53,6.33;6.50;6.29;6.29;6.30;6.61,23.6;23.6;24.0;23.5;23.4;23.1
16,llama,17.9,18.1,25.34,28.76,6.12,6.36,-,-,23.60;25.39;28.76;25.28;24.22;27.80,6.14;6.19;6.09;6.09;6.08;6.36,18.0;17.8;17.6;18.0;18.1;17.2
17,sub0llm,23.2,23.8,15.83,16.21,6.33,6.60,58.0,101.2,15.12;15.75;16.21;16.04;15.56;15.91,6.35;6.52;6.32;6.30;6.32;6.60,23.8;22.8;22.9;23.4;23.5;23.0
17,llama,17.4,17.7,27.31,29.28,6.26,6.44,-,-,26.53;28.93;27.36;27.26;29.28;25.35,6.22;6.39;6.30;6.18;6.17;6.44,17.7;17.1;17.4;17.7;17.5;17.3
18,sub0llm,23.0,23.4,16.61,16.96,6.47,6.65,54.4,101.8,16.06;16.65;16.96;16.75;16.45;16.58,6.40;6.55;6.65;6.35;6.35;6.63,23.0;23.0;22.2;23.1;23.4;22.3
18,llama,17.1,17.4,30.56,31.70,6.36,6.55,-,-,28.81;30.70;30.42;28.90;31.70;31.55,6.26;6.46;6.55;6.24;6.23;6.53,17.4;17.0;16.8;17.3;17.3;16.7
19,sub0llm,22.8,23.2,17.05,17.33,6.45,6.72,55.6,100.6,16.25;16.21;17.18;17.33;16.93;17.28,6.45;6.45;6.41;6.42;6.44;6.72,23.2;23.2;22.7;22.5;22.9;22.1
19,llama,17.0,17.5,30.68,31.34,6.40,6.57,-,-,30.68;29.30;28.17;31.34;30.67;30.84,6.39;6.42;6.27;6.26;6.54;6.57,17.0;17.0;17.5;17.0;17.0;16.8
20,sub0llm,23.0,23.7,17.44,17.79,6.43,6.73,54.8,102.3,17.14;17.17;17.75;17.71;17.79;15.83,6.24;6.40;6.32;6.46;6.69;6.73,23.7;23.2;23.3;22.5;22.3;22.9
20,llama,17.1,17.4,31.81,33.59,6.29,6.57,-,-,31.54;31.79;33.59;32.24;31.46;31.83,6.27;6.30;6.26;6.25;6.53;6.57,17.4;17.2;17.1;17.3;16.7;16.6
21,sub0llm,22.5,23.8,17.74,18.34,6.50,6.70,55.1,100.9,17.13;16.93;17.66;17.83;18.34;18.20,6.15;6.32;6.29;6.70;6.68;6.67,23.8;23.6;22.9;22.1;22.2;22.1
21,llama,16.9,17.2,32.21,33.46,6.44,6.57,-,-,31.25;31.80;31.62;33.02;33.46;32.62,6.28;6.34;6.25;6.53;6.57;6.56,17.2;17.2;17.1;16.6;16.7;16.5
22,sub0llm,22.5,23.7,17.94,18.09,6.45,6.65,54.6,102.6,17.69;17.67;18.08;17.96;18.09;17.91,6.08;6.00;6.27;6.63;6.65;6.65,23.7;23.5;22.7;22.1;22.3;22.3
22,llama,17.1,17.3,32.87,33.43,6.29,6.54,-,-,31.60;32.65;33.09;33.43;31.68;33.13,6.26;6.31;6.26;6.51;6.25;6.54,17.3;17.2;17.0;16.6;17.2;16.6
23,sub0llm,23.3,25.4,17.53,18.52,6.00,6.42,57.5,94.4,17.67;16.95;17.39;18.03;17.01;18.52,5.76;5.23;5.87;6.27;6.42;6.13,24.3;25.4;23.6;23.0;22.9;22.8
23,llama,17.2,17.6,30.50,33.83,6.36,6.51,-,-,30.37;30.59;29.88;30.41;33.83;31.21,6.18;6.23;6.19;6.48;6.51;6.48,17.6;17.4;17.6;17.0;16.6;16.7
24,sub0llm,26.4,30.2,16.37,16.59,4.79,5.48,59.0,76.4,16.31;14.27;16.42;16.50;16.32;16.59,4.72;4.07;4.34;4.96;5.48;4.85,26.9;30.2;27.7;25.6;25.0;25.9
24,llama,17.6,18.3,27.73,29.99,6.26,6.29,-,-,27.76;27.71;27.03;27.51;29.99;27.97,6.17;5.84;6.26;6.29;6.28;6.27,17.7;18.3;17.6;17.4;17.2;17.5
